x86,arm,code
bf10204000 b800000000 e87ffeffff,90000000 911f8000 97ffff8d,"    printf(""Enter the number of elements: "");
"
488d45fc 4889c6 bf2f204000 b800000000 e879feffff,910073e0 aa0003e1 90000000 91200000 97ffff84,"    scanf(""%d"",&n);
"
bf32204000 b800000000 e85afeffff,90000000 91202000 97ffff85,"    printf(""Fibonacci Series: "");
"
ba01000000 be00000000 bf45204000 b800000000 e841feffff,52800022 52800001 90000000 91208000 97ffff80,"    printf(""%d %d "",0,1);
"
8b45fc 83e802 89c7 e83affffff,b9401fe0 51000800 97ffffc3,"    printFibonacci(n-2);
"
b800000000,52800000,"  return 0;
"
c9 c3 662e0f1f840000000000 0f1f00,a8c27bfd d65f03c0," }
"
55 4889e5 f20f1145e8 897de4 8975e0,d10083ff fd0007e0 b90007e0 b90003e1,"double convertTemp(double initValue, int initScale, int finalScale){
"
837de403 0f84ef000000 837de403 0f8f70010000 837de401 740b 837de402 7467 e95f010000,b94007e0 71000c1f 54000740 b94007e0 71000c1f 54000b4c b94007e0 7100041f 540000a0 b94007e0 7100081f 54000300 14000053,"    switch(initScale){
"
837de001 751b,b94003e0 7100041f 540000e1,"            if(finalScale == 1){
"
f20f104de8 f20f10053b100000 f20f58c1 f20f1145f8,fd4007e0 90000000 fd467c01 1e612800 fd000fe0,"                finalValue = initValue + 273.15;
"
e937010000 e9f6000000 90 eb04,14000045 14000038 d503201f 14000004,"            break;
"
837de002 0f852d010000,b94003e0 7100081f 54000841,"            else if(finalScale == 2){
"
f20f104de8 f20f10051e100000 f20f59c1 f20f10151a100000 660f28c8 f20f5eca f20f100512100000 f20f58c1 f20f1145f8,fd4007e1 1e645000 1e600821 1e629000 1e601820 d2e80800 9e670001 1e612800 fd000fe0,"                finalValue = (initValue * 9 / 5) + 32;
"
837de001 751b,b94003e0 7100041f 540000e1,"            if(finalScale == 1){
"
f20f1045e8 f20f100dd90f0000 f20f5cc1 f20f1145f8,fd4007e0 90000000 fd467c01 1e613800 fd000fe0,"                finalValue = initValue - 273.15;
"
e9d8000000 e987000000 90 eb01,14000031 14000021 d503201f 14000002,"            break;
"
837de002 0f85ce000000,b94003e0 7100081f 540005c1,"            else if(finalScale == 2){
"
f20f1045e8 f20f1015b40f0000 660f28c8 f20f5cca f20f1005ac0f0000 f20f59c1 f20f1015a80f0000 660f28c8 f20f5eca f20f1005a00f0000 f20f58c1 f20f1145f8,fd4007e0 90000000 fd467c01 1e613801 1e645000 1e600821 1e629000 1e601820 d2e80800 9e670001 1e612800 fd000fe0,"                finalValue = ((initValue - 273.15) * 9 / 5) + 32;
"
837de001 7534,b94003e0 7100041f 54000161,"            if(finalScale == 1){
"
f20f1045e8 f20f10157f0f0000 660f28c8 f20f5cca f20f1005670f0000 f20f59c1 f20f100d530f0000 f20f5ec1 f20f1145f8,fd4007e0 d2e80800 9e670001 1e613801 1e629000 1e600821 1e645000 1e601820 fd000fe0,"                finalValue = (initValue - 32) * 5 / 9;
"
eb50 eb06 90,14000016 14000005 d503201f,"            break;
"
837de002 754a,b94003e0 7100081f 54000261,"            else if(finalScale == 2){
"
f20f1045e8 f20f1015450f0000 660f28c8 f20f5cca f20f10052d0f0000 f20f59c1 f20f1015190f0000 660f28c8 f20f5eca f20f1005210f0000 f20f58c1 f20f1145f8,fd4007e0 d2e80800 9e670001 1e613801 1e629000 1e600821 1e645000 1e601820 d2c20000 f2e80e20 9e670001 1e612800 fd000fe0,"                finalValue = ((initValue - 32) * 5 / 9) + 273,15;
"
f20f1045f8 66480f7ec0,fd400fe0,"    return finalValue;
"
66480f6ec0 5d c3,910083ff d65f03c0,"}
"
55 4889e5 4883ec20,a9bd7bfd 910003fd,"int main(){
"
bf08204000 e834fdffff e9c4fdffff,90000000 912d2000 97ffff3c 17ffff7f,"        printf(""\n0 - Exit\n"");
"
bf18204000 e82afdffff,90000000 912d6000 97ffff39,"        printf(""1 - Convert from Celsius to Kelvin\n"");
"
bf40204000 e820fdffff,90000000 912e0000 97ffff36,"        printf(""2 - Convert from Celsius to Fahrenheit\n"");
"
bf68204000 e816fdffff,90000000 912ea000 97ffff33,"        printf(""3 - Convert from Kelvin to Fahrenheit\n"");
"
bf90204000 e80cfdffff,90000000 912f4000 97ffff30,"        printf(""4 - Convert from Kelvin to Celsius\n"");
"
bfb8204000 e802fdffff,90000000 912fe000 97ffff2d,"        printf(""5 - Convert from Fahrenheit to Celsius\n"");
"
bfe0204000 e8f8fcffff,90000000 91308000 97ffff2a,"        printf(""6 - Convert from Fahrenheit to Kelvin\n"");
"
bf06214000 b800000000 e8f9fcffff,90000000 91312000 97ffff2f,"        printf(""Select a number: "");
"
488d45f4 4889c6 bf18214000 b800000000 e8f3fcffff,910093e0 aa0003e1 90000000 91318000 97ffff26,"        scanf(""%d"",&option);
"
8b45f4 85c0 7514,b94027e0 7100001f 540000c1,"        if(!option){
"
bf1b214000 e8c2fcffff,90000000 9131a000 97ffff1c,"            printf(""Ending program\n"");
"
b800000000 e9b6010000,52800000 1400005e,"            return 0;
"
bf30214000 b800000000 e8b9fcffff,90000000 9131e000 97ffff1f,"        printf(""Please enter the initial value: "");
"
488d45e8 4889c6 bf51214000 b800000000 e8b3fcffff,910063e0 aa0003e1 90000000 91328000 97ffff16,"        scanf(""%lf"",&initialValue);
"
8b45f4 83f806 0f8776010000 89c0 488b04c5a0214000 ffe0,b94027e0 7100181f 540008c0 7100181f 540009cc 7100141f 54000700 7100141f 5400094c 7100101f 54000540 7100101f 540008cc 71000c1f 54000380 71000c1f 5400084c 7100041f 54000080 7100081f 54000180 1400003d,"        switch(option){
"
488b45e8 be01000000 bf01000000 66480f6ec0 e879fdffff 66480f7ec0 488945f8,fd400fe0 52800021 52800020 97ffff52 fd0017e0,"                finalValue = convertTemp(initialValue,1,1);
"
488b45f8 66480f6ec0 bf55214000 b801000000 e852fcffff,fd4017e0 90000000 9132a000 97fffefb,"                printf(""Valor em Kelvin: %.2lf"",finalValue);
"
e92c010000,14000033,"                break;
"
488b45e8 be02000000 bf01000000 66480f6ec0 e83bfdffff 66480f7ec0 488945f8,fd400fe0 52800041 52800020 97ffff48 fd0017e0,"                finalValue = convertTemp(initialValue,1,2);
"
488b45f8 66480f6ec0 bf6c214000 b801000000 e814fcffff,fd4017e0 90000000 91330000 97fffef1,"                printf(""Valor em Fahrenheit: %.2lf"",finalValue);
"
e9ee000000,14000029,"                break;
"
488b45e8 be01000000 bf02000000 66480f6ec0 e8fdfcffff 66480f7ec0 488945f8,fd400fe0 52800021 52800040 97ffff3e fd0017e0,"                finalValue = convertTemp(initialValue,2,1);
"
488b45f8 66480f6ec0 bf87214000 b801000000 e8d6fbffff,fd4017e0 90000000 91338000 97fffee7,"                printf(""Valor em Celsius: %.2lf"",finalValue);
"
e9b0000000,1400001f,"                break;
"
488b45e8 be02000000 bf02000000 66480f6ec0 e8bffcffff 66480f7ec0 488945f8,fd400fe0 52800041 52800040 97ffff34 fd0017e0,"                finalValue = convertTemp(initialValue,2,2);
"
488b45f8 66480f6ec0 bf6c214000 b801000000 e898fbffff,fd4017e0 90000000 91330000 97fffedd,"                printf(""Valor em Fahrenheit: %.2lf"",finalValue);
"
eb75,14000015,"                break;
"
488b45e8 be01000000 bf03000000 66480f6ec0 e884fcffff 66480f7ec0 488945f8,fd400fe0 52800021 52800060 97ffff2a fd0017e0,"                finalValue = convertTemp(initialValue,3,1);
"
488b45f8 66480f6ec0 bf87214000 b801000000 e85dfbffff,fd4017e0 90000000 91338000 97fffed3,"                printf(""Valor em Celsius: %.2lf"",finalValue);
"
eb3a,1400000b,"                break;
"
488b45e8 be01000000 bf03000000 66480f6ec0 e849fcffff 66480f7ec0 488945f8,fd400fe0 52800021 52800060 97ffff20 fd0017e0,"                finalValue = convertTemp(initialValue,3,1);
"
488b45f8 66480f6ec0 bf55214000 b801000000 e822fbffff,fd4017e0 90000000 9132a000 97fffec9,"                printf(""Valor em Kelvin: %.2lf"",finalValue);
"
90,d503201f,"                break;
"
bf0a000000 e8f7faffff,52800140 97fffeca,"        printf(""\n"");
"
c9 c3,a8c37bfd d65f03c0,}
55 4889e5 4883ec20,a9bd7bfd 910003fd,"int main() {
"
c745f003000000 c745ec04000000,52800060 b90023e0 52800080 b9001fe0,"    int r = 3, c = 4;
"
8b45f0 0faf45ec 4898 48c1e002 4889c7 e8dffeffff 488945e0,b94023e1 b9401fe0 1b007c20 93407c00 d37ef400 97ffffa3 f9000be0,"    int * arr = (int * ) malloc(r * c * sizeof(int));
"
c745f400000000,b90027ff,"    int i, j, count = 0;
"
c745fc00000000 eb43 8345fc01 8b45fc 3b45f0 7cb5,b9002fff 1400001b b9402fe0 11000400 b9002fe0 b9402fe1 b94023e0 6b00003f 54fffc6b,"    for (i = 0; i < r; i++)
"
c745f800000000 eb2e 8345f801 8b45f8 3b45ec 7cca,b9002bff 14000012 b9402be0 11000400 b9002be0 b9402be1 b9401fe0 6b00003f 54fffd8b,"        for (j = 0; j < c; j++)
"
8345f401 8b45fc 0faf45ec 4863d0 8b45f8 4898 4801d0 488d148500000000 488b45e0 4801c2 8b45f4 8902,b94027e0 11000400 b90027e0 b9402fe1 b9401fe0 1b007c20 93407c01 b9802be0 8b000020 d37ef400 f9400be1 8b000020 b94027e1 b9000001,"            (arr + i * c + j) = ++count;
"
c745fc00000000 eb4d 8345fc01 8b45fc 3b45f0 7cab,b9002fff 1400001b b9402fe0 11000400 b9002fe0 b9402fe1 b94023e0 6b00003f 54fffc6b,"    for (i = 0; i < r; i++)
"
c745f800000000 eb38 8345f801 8b45f8 3b45ec 7cc0,b9002bff 14000012 b9402be0 11000400 b9002be0 b9402be1 b9401fe0 6b00003f 54fffd8b,"        for (j = 0; j < c; j++)
"
8b45fc 0faf45ec 4863d0 8b45f8 4898 4801d0 488d148500000000 488b45e0 4801d0 8b00 89c6 bf04204000 b800000000 e82afeffff,b9402fe1 b9401fe0 1b007c20 93407c01 b9802be0 8b000020 d37ef400 f9400be1 8b000020 b9400000 2a0003e1 90000000 91206000 97ffff7b,"            printf(""%d "", *(arr + i * c + j));
"
b800000000,52800000,"    return 0;
"
c9 c3 662e0f1f840000000000 90,a8c37bfd d65f03c0,"}
"
55 4889e5 4883ec10,a9be7bfd 910003fd,"{
"
bf08204000 e8d8feffff,90000000 911dc000 97ffffb2,"	printf(""Enter the desired temperature in Celcius:\n"");
"
488d45f0 4889c6 bf32204000 b800000000 e8e2feffff,910043e0 aa0003e1 90000000 911e8000 97ffffb1,"	scanf(""%c"", &c);
"
f20f104df0 f20f1005d50e0000 f20f58c1 f20f1145f8,fd400be0 90000000 fd43e001 1e612800 fd000fe0,"	k = c + 273.15;
"
488b45f8 66480f6ec0 bf35204000 b801000000 e8a4feffff,fd400fe0 90000000 911ea000 97ffffac,"	printf(""Converted value: %f K\n"", k);
"
b800000000,52800000,"	return 0;
"
c9 c3 662e0f1f840000000000 0f1f00,a8c27bfd d65f03c0,"}
"
55 4889e5 4157 4156 4155 4154 53 4883ec78 4889e0 48898568ffffff,a9b17bfd 910003fd a90153f3 a9025bf5 a90363f7 a9046bf9 a90573fb 910003e0 aa0003fc,"{
"
c745c400000000 c745c000000000,b900e7bf b900e3bf,"    int n,i,j,sum1=0,sum2=0; //n denotes the number of rows and columns in the matrix arr.
"
488d45a4 4889c6 bf04204000 b800000000 e8cbfeffff,910313a0 aa0003e1 90000000 91288000 97ffffa7,"    scanf(""%d"", &n);
"
8b4da4 8b75a4 4863c1 4883e801 488945b8 4863c1 48898570ffffff 48c78578ffffff00000000 4863c1 488d1c8500000000 4863c6 4883e801 488945b0 4863c1 48894590 48c7459800000000 4863c6 48894580 48c7458800000000 4c8b4590 4c8b4d98 4c89ca 4c8b5580 4c8b5d88 4c89d0 480fafd0 4c89d8 4c89c7 480fafc7 488d3c02 4c89c0 49f7e2 4801d7 4889fa 4863c1 4989c6 41bf00000000 4863c6 4989c4 41bd00000000 4c89fa 490fafd4 4c89e8 490fafc6 488d3c02 4c89f0 49f7e4 4801d7 4889fa 4863d1 4863c6 480fafc2 488d148500000000 b810000000 4883e801 4801d0 bf10000000 ba00000000 48f7f7 486bc010 4829c4 4889e0 4883c003 48c1e802 48c1e002 488945a8,b940c7a1 b940c7a2 93407c20 d1000400 f9006fa0 93407c20 f90043a0 f90047bf a94817a4 aa0403e0 d37bfc00 aa0503e3 d37be863 f9005fa3 f9405fa3 aa030000 f9005fa0 aa0403e0 d37be800 f9005ba0 93407c20 d37ef413 93407c40 d1000400 f9006ba0 93407c20 aa0003fa d280001b 93407c40 aa0003f8 d2800019 9b187f43 9bd87f40 9b180360 9b190340 f9003ba3 f9003fa0 a94717a4 aa0403e0 d37bfc00 aa0503e3 d37be863 f90057a3 f94057a3 aa030000 f90057a0 aa0403e0 d37be800 f90053a0 93407c20 aa0003f6 d2800017 93407c40 aa0003f4 d2800015 9b147ec3 9bd47ec0 9b1402e0 9b1502c0 f90033a3 f90037a0 a94617a4 aa0403e0 d37bfc00 aa0503e3 d37be863 f9004fa3 f9404fa3 aa030000 f9004fa0 aa0403e0 d37be800 f9004ba0 93407c21 93407c40 9b007c20 d37ef400 91003c00 d344fc00 d37cec00 cb2063ff 910003e0 91000c00 d342fc00 d37ef400 f90067a0,"    int arr[n][n];
"
c745cc00000000 e908010000 8345cc01 8b45a4 3945cc 0f8cecfeffff,b900efbf 1400004a b940efa0 11000400 b900efa0 b940c7a0 b940efa1 6b00003f 54fff68b,"    for (i=0;i<n;i++)
"
c745c800000000 e9ec000000 8345c801 8b45a4 3945c8 0f8c08ffffff,b900ebbf 14000041 b940eba0 11000400 b900eba0 b940c7a0 b940eba1 6b00003f 54fff7ab,"        for (j=0;j<n;j++)
"
4889d9 48c1e902 8b45c8 4863d0 8b45cc 4898 480fafc1 4801d0 488d148500000000 488b45a8 4801d0 4889c6 bf07204000 b800000000 e870fdffff,d342fe60 b980eba1 b980efa2 9b007c40 8b000020 d37ef400 f94067a1 8b000020 aa0003e1 90000000 9128a000 97ffff41,"            scanf(""%d "", &arr[i][j]);
"
4889de 48c1ee02 488b45a8 8b55c8 4863ca 8b55cc 4863d2 480fafd6 4801ca 8b0490 83f89c 0f8c84000000 4889de 48c1ee02 488b45a8 8b55c8 4863ca 8b55cc 4863d2 480fafd6 4801ca 8b0490 83f864 7f5e,d342fe61 f94067a0 b980eba2 b980efa3 9b017c61 8b010041 b8617800 3101901f 5400052b d342fe61 f94067a0 b980eba2 b980efa3 9b017c61 8b010041 b8617800 7101901f 5400040c,"            if(arr[i][j]>=-100 && arr[i][j]<=100)
"
8b45cc 3b45c8 7524,b940efa1 b940eba0 6b00003f 54000161,"                if(i==j)
"
4889de 48c1ee02 488b45a8 8b55c8 4863ca 8b55cc 4863d2 480fafd6 4801ca 8b0490 0145c4,d342fe61 f94067a0 b980eba2 b980efa3 9b017c61 8b010041 b8617800 b940e7a1 0b000020 b900e7a0,"                    sum1+=arr[i][j];
"
8b45a4 83e801 2b45cc 3945c8 7524,b940c7a0 51000401 b940efa0 4b000020 b940eba1 6b00003f 54000161,"                if(j==(n-1-i))
"
4889de 48c1ee02 488b45a8 8b55c8 4863ca 8b55cc 4863d2 480fafd6 4801ca 8b0490 0145c0,d342fe61 f94067a0 b980eba2 b980efa3 9b017c61 8b010041 b8617800 b940e3a1 0b000020 b900e3a0,"                    sum2+=arr[i][j];
"
8b45c4 2b45c0 85c0 7919,b940e7a1 b940e3a0 4b000020 7100001f 5400012a,"    if((sum1-sum2)<0)
"
8b45c0 2b45c4 89c6 bf04204000 b800000000 e871fcffff eb17,b940e3a1 b940e7a0 4b000020 2a0003e1 90000000 91288000 97fffefa 14000008,"        printf(""%d"", (-((sum1)-(sum2))));
"
8b45c4 2b45c0 89c6 bf04204000 b800000000 e858fcffff,b940e7a1 b940e3a0 4b000020 2a0003e1 90000000 91288000 97fffef2,"        printf(""%d"", ((sum1)-(sum2)));
"
b800000000 488ba568ffffff,52800000 9100039f,"    return 0; 
"
488d65d8 5b 415c 415d 415e 415f 5d c3 662e0f1f840000000000 0f1f00,910003bf a94153f3 a9425bf5 a94363f7 a9446bf9 a94573fb a8cf7bfd d65f03c0,"}
"
55 4889e5 4883ec10,a9be7bfd 910003fd,"{
"
bf04204000 b800000000 e8d3feffff,90000000 9120a000 97ffffba,"    printf(""Enter a year:"");
"
488d45fc 4889c6 bf12204000 b800000000 e8cdfeffff,910073e0 aa0003e1 90000000 9120e000 97ffffb1,"    scanf(""%d"",&y);
"
8b45fc 83e003 85c0 0f85a1000000,b9401fe0 12000400 7100001f 540005e1,"    if(y%4==0) 
"
8b55fc 4863c2 4869c01f85eb51 48c1e820 c1f805 89d1 c1f91f 29c8 6bc864 89d0 29c8 85c0 7565,b9401fe1 5290a3e0 72aa3d60 9b207c20 d360fc00 13057c02 131f7c20 4b000040 52800c82 1b027c00 4b000020 7100001f 54000381,"      if(y%100==0) //In case of century
"
8b55fc 4863c2 4869c01f85eb51 48c1e820 c1f807 89d1 c1f91f 29c8 69c890010000 89d0 29c8 85c0 751e,b9401fe1 5290a3e0 72aa3d60 9b207c20 d360fc00 13077c02 131f7c20 4b000040 52803202 1b027c00 4b000020 7100001f 54000101,"         if(y%400==0)
"
8b45fc 89c6 bf15204000 b800000000 e84cfeffff,b9401fe0 2a0003e1 90000000 91210000 97ffff92,"            printf(""\n%d is a leap year"",y);
"
bf00000000 e862feffff,52800000 97ffff7c,"            exit(0);
"
8b45fc 89c6 bf28204000 b800000000 e82efeffff,b9401fe0 2a0003e1 90000000 91216000 97ffff8b,"            printf(""\n%d is not a leap year"",y);
"
bf00000000 e844feffff,52800000 97ffff75,"            exit(0);
"
8b45fc 89c6 bf15204000 b800000000 e810feffff,b9401fe0 2a0003e1 90000000 91210000 97ffff84,"       printf(""\n%d is a leap year"",y);
"
eb14 90 c9 c3 0f1f8000000000,14000006 d503201f a8c27bfd d65f03c0,"}
"
8b45fc 89c6 bf28204000 b800000000 e8fafdffff,b9401fe0 2a0003e1 90000000 91216000 97ffff7e,"       printf(""\n%d is not a leap year"",y);
"
55 4889e5 4883ec10,a9be7bfd 910003fd,"int main(){
"
bf04204000 e8d8feffff,90000000 911e2000 97ffffb2,"printf(""Enter an integer number\n"");
"
488d45fc 4889c6 bf1c204000 b800000000 e8e2feffff,910073e0 aa0003e1 90000000 911e8000 97ffffb1,"scanf(""%d"",&number);
"
8b45fc 83e001 85c0 7516,b9401fe0 12000000 7100001f 540000e1,"if (number %2 ==0)
"
8b45fc 89c6 bf1f204000 b800000000 e8b4feffff eb14,b9401fe0 2a0003e1 90000000 911ea000 97ffffac 14000006,"   printf(""The number %d is even\n"",number);
"
8b45fc 89c6 bf36204000 b800000000 e89efeffff,b9401fe0 2a0003e1 90000000 911f0000 97ffffa6,"   printf(""The number %d is odd\n"",number);
"
b800000000,52800000,"return 0;
"
c9 c3 0f1f8000000000,a8c27bfd d65f03c0,"}
"
55 4889e5 4881eca0000000,a9b57bfd 910003fd,"int main() {
"
48b8205468697320636f 48ba6e7461696e732068 48898560ffffff 48899568ffffff 48b86967686c79207365 48ba6e73697469766520 48898570ffffff 48899578ffffff 48b86d6573736167650a 48ba20636f6f7264696e 48894580 48895588 48b861746573203a2032 48ba332e3434352c2033 48894590 48895598 48b8342e3434330a2041 48ba6c6c206675727468 488945a0 488955a8 48b86572206d65737361 48ba676573204d555354 488945b0 488955b8 48b82062652073656e64 48ba207669610a20584f 488945c0 488955c8 48b85220656e63727970 48ba74696f6e206f6e6c 488945d0 488955d8 48b879202d204c6f6e67 48ba204c697665205265 488945e0 488955e8 48b865205265766f6c75 48ba74696f6e21210a00 488945ec 488955f4,90000000 91220001 910043e0 ad400420 ad000400 ad410420 ad010400 ad420420 ad020400 ad430420 ad030400 3dc02020 3d802000 3cc8c020 3c88c000,"	char sampleString[] = "" This contains highly sensitive message\n""          \
"
bf04204000 e8c1fdffff,90000000 91214000 97ffffa3,"	printf(""\nEncrypted String :\n"");
"
488d8560ffffff 4889c7 b800000000 e825000000,910043e0 94000009,"	encryptDecrypt(sampleString);
"
bf18204000 e8a3fdffff,90000000 9121a000 97ffff9e,"	printf(""\nDecyrpted String :\n"");
"
488d8560ffffff 4889c7 b800000000 e807000000,910043e0 94000004,"	encryptDecrypt(sampleString);
"
b800000000,52800000,"	return 0;
"
c9 c3,a8cb7bfd d65f03c0,"}
"
55 4889e5 4883ec20 48897de8,a9bd7bfd 910003fd f9000fe0,"void encryptDecrypt(char inputString[]) {
"
c745fc00000000,b9002fff,"	int i = 0;
"
488b45e8 4889c7 e879fdffff 8945f8,f9400fe0 97ffff83 b9002be0,"	int len = strlen(inputString);
"
c745fc00000000 eb75 8345fc01 8b45fc 3b45f8 7c83,b9002fff 14000020 b9402fe0 11000400 b9002fe0 b9402fe1 b9402be0 6b00003f 54fffbcb,"	for (i = 0; i < len; i++) {
"
8b45fc 4863d0 488b45e8 4801d0 0fb630 8b45fc 4863c8 48baabaaaaaaaaaaaaaa 4889c8 48f7e2 48c1ea03 4889d0 4801c0 4801d0 48c1e002 4829c1 4889ca 0fb68a40404000 8b45fc 4863d0 488b45e8 4801d0 31ce 89f2 8810,b9802fe0 f9400fe1 8b000020 39400003 b9802fe2 b201f3e0 f2955560 9bc07c40 d343fc01 aa0103e0 d37ff800 8b010000 d37ef400 cb000041 b0000080 91010000 38616801 b9802fe0 f9400fe2 8b000040 4a010061 12001c21 39000001,"		inputString[i] = inputString[i] ^ XORkey[i % (sizeof(XORkey)/sizeof(char))];
"
8b45fc 4863d0 488b45e8 4801d0 0fb600 0fbec0 89c7 e8dcfcffff,b9802fe0 f9400fe1 8b000020 39400000 97ffff78,"		printf(""%c"", inputString[i]);
"
90 90 c9 c3 662e0f1f840000000000 6690,d503201f d503201f a8c37bfd d65f03c0,"}
"
55 4889e5 4883ec10,a9be7bfd 910003fd,"int main(){
"
bf04204000 b800000000 e8e3feffff,90000000 911ec000 97ffffb6,"    printf(""Enter number of rows : "");
"
488d45f4 4889c6 bf1c204000 b800000000 e8ddfeffff,910053e0 aa0003e1 90000000 911f2000 97ffffad,"    scanf(""%d"" , &n);
"
c745fc01000000 eb32 8345fc01 8b45f4 3945fc 7ec6,52800020 b9001fe0 14000013 b9401fe0 11000400 b9001fe0 b94017e0 b9401fe1 6b00003f 54fffd6d,"    for(i=1;i<=n;i++){
"
c745f801000000 eb13 8345f801 8b45f8 3b45fc 7ee5,52800020 b9001be0 14000007 b9401be0 11000400 b9001be0 b9401be1 b9401fe0 6b00003f 54fffeed,"        for(j=1;j<=i;j++)
"
bf1f204000 b800000000 e8acfeffff,90000000 911f4000 97ffffa8,"            printf(""* "");
"
